,state,handgun,long_gun,multiple,month
174,Florida,18255.600000000002,15067.800000000001,1348,9
175,Georgia,6374.500000000001,10627.1,664,9
176,Guam,13.200000000000001,15.400000000000002,0,9
177,Hawaii,0.0,0.0,0,9
178,Idaho,1876.6000000000001,5729.900000000001,220,9
179,Illinois,5067.700000000001,8929.800000000001,598,9
180,Indiana,5919.1,9766.900000000001,530,9
181,Iowa,12.100000000000001,4880.700000000001,6,9
182,Kansas,3089.9,6329.400000000001,438,9
183,Kentucky,6239.200000000001,10937.300000000001,974,9
184,Louisiana,6542.8,11919.6,506,9
185,Maine,1415.7,4540.8,282,9
186,Mariana Islands,0.0,1.1,0,9
187,Maryland,460.90000000000003,4811.400000000001,12,9
188,Massachusetts,1819.4,1597.2,128,9
189,Michigan,2219.8,19256.600000000002,162,9
190,Minnesota,3950.1000000000004,20146.5,362,9
191,Mississippi,3562.9,9342.300000000001,390,9
192,Missouri,4363.700000000001,13746.7,378,9
193,Montana,1689.6000000000001,5811.3,326,9
194,Nebraska,0.0,3027.2000000000003,0,9
195,Nevada,2264.9,2572.9,238,9
196,New Hampshire,1621.4,3148.2000000000003,20,9
197,New Jersey,1280.4,1804.0000000000002,92,9
198,New Mexico,2587.2000000000003,3968.8,262,9
199,New York,3545.3,16063.300000000001,132,9
200,North Carolina,220.00000000000003,12976.7,204,9
201,North Dakota,530.2,3840.1000000000004,50,9
202,Ohio,9548.0,16704.600000000002,964,9
203,Oklahoma,4796.0,8897.900000000001,792,9
204,Oregon,5252.5,11894.300000000001,614,9
205,Pennsylvania,0.0,50836.50000000001,152,9
206,Puerto Rico,651.2,174.9,48,9
207,Rhode Island,369.6,456.50000000000006,166,9
208,South Carolina,3747.7000000000003,6350.3,278,9
209,South Dakota,807.4000000000001,5069.900000000001,124,9
210,Tennessee,8094.900000000001,11135.300000000001,748,9
211,Texas,17998.2,41603.100000000006,2276,9
212,Utah,2150.5,6323.900000000001,176,9
213,Vermont,642.4000000000001,1689.6000000000001,56,9
214,Virgin Islands,18.700000000000003,1.1,0,9
215,Virginia,7628.500000000001,12125.300000000001,484,9
216,Washington,5990.6,9967.1,554,9
217,West Virginia,2866.6000000000004,7685.700000000001,454,9
218,Wisconsin,4180.0,17833.2,2,9
219,Wyoming,1082.4,2684.0,106,9
220,Alabama,6967.400000000001,8372.1,640,8
221,Alaska,1551.0000000000002,2979.9,204,8
222,Arizona,7268.8,7718.700000000001,604,8
223,Arkansas,2972.2000000000003,6468.000000000001,450,8
224,California,16909.2,19294.0,814,8
225,Colorado,7903.500000000001,11063.800000000001,970,8
226,Connecticut,1985.5000000000002,1862.3000000000002,100,8
227,Delaware,479.6,743.6,28,8
228,District of Columbia,5.5,1.1,0,8
229,Florida,19332.5,14296.7,1348,8
230,Georgia,6763.900000000001,9344.5,542,8
231,Guam,12.100000000000001,19.8,0,8
232,Hawaii,0.0,0.0,0,8
233,Idaho,1591.7,3878.6000000000004,232,8
234,Illinois,5153.5,8688.900000000001,452,8
235,Indiana,6008.200000000001,8486.5,532,8
236,Iowa,14.3,2858.9,4,8
237,Kansas,3020.6000000000004,4732.200000000001,376,8
238,Kentucky,5932.3,8885.800000000001,830,8
239,Louisiana,6369.000000000001,9689.900000000001,560,8
240,Maine,1252.9,2876.5000000000005,146,8
241,Mariana Islands,0.0,0.0,0,8
242,Maryland,642.4000000000001,4005.1000000000004,10,8
243,Massachusetts,1882.1000000000001,1323.3000000000002,176,8
244,Michigan,2162.6000000000004,12652.2,128,8
245,Minnesota,3350.6000000000004,12200.1,290,8
246,Mississippi,4138.200000000001,8093.800000000001,388,8
247,Missouri,4484.700000000001,12653.300000000001,344,8
248,Montana,1713.8000000000002,4210.8,282,8
249,Nebraska,0.0,2053.7000000000003,2,8
250,Nevada,2977.7000000000003,2632.3,360,8
251,New Hampshire,1379.4,2216.5,22,8
252,New Jersey,1356.3000000000002,1602.7,96,8
253,New Mexico,2951.3,3779.6000000000004,296,8
254,New York,3193.3,9721.800000000001,88,8
255,North Carolina,232.10000000000002,11740.300000000001,192,8
256,North Dakota,551.1,2747.8,48,8
257,Ohio,8911.1,13226.400000000001,816,8
258,Oklahoma,5146.900000000001,8112.500000000001,710,8
259,Oregon,4901.6,8093.800000000001,522,8
260,Pennsylvania,0.0,41684.5,114,8
261,Puerto Rico,525.8000000000001,180.4,36,8
262,Rhode Island,341.0,337.70000000000005,166,8
263,South Carolina,3665.2000000000003,5606.700000000001,280,8
264,South Dakota,755.7,3132.8,122,8
265,Tennessee,8512.900000000001,11106.7,664,8
266,Texas,17776.0,36135.0,2208,8
267,Utah,1900.8000000000002,4412.1,164,8
268,Vermont,542.3000000000001,990.0000000000001,44,8
269,Virgin Islands,33.0,1.1,0,8
270,Virginia,7693.400000000001,9809.800000000001,452,8
271,Washington,6325.000000000001,8232.400000000001,524,8
272,West Virginia,2555.3,4406.6,400,8
273,Wisconsin,3392.4,10842.7,2,8
274,Wyoming,903.1,2142.8,122,8
275,Alabama,6377.8,6028.000000000001,514,7
276,Alaska,1637.9,2096.6000000000004,156,7
277,Arizona,6976.200000000001,5731.000000000001,470,7
278,Arkansas,2823.7000000000003,4248.200000000001,358,7
279,California,15161.300000000001,15636.500000000002,800,7
280,Colorado,6524.1,8294.0,762,7
281,Connecticut,1845.8000000000002,1629.1000000000001,76,7
282,Delaware,457.6,503.80000000000007,26,7
283,District of Columbia,0.0,0.0,0,7
284,Florida,17612.100000000002,11456.500000000002,1164,7
285,Georgia,6224.900000000001,6507.6,502,7
286,Guam,19.8,13.200000000000001,0,7
287,Hawaii,0.0,0.0,0,7
288,Idaho,1400.3000000000002,2704.9,160,7
289,Illinois,4562.8,6160.000000000001,662,7
290,Indiana,4919.200000000001,5987.3,334,7
291,Iowa,17.6,1906.3000000000002,0,7
292,Kansas,2565.2000000000003,3199.9,242,7
293,Kentucky,5439.5,6398.700000000001,802,7
294,Louisiana,6749.6,6230.400000000001,410,7
295,Maine,1025.2,1875.5000000000002,124,7
296,Mariana Islands,0.0,0.0,0,7
297,Maryland,484.00000000000006,2824.8,8,7
298,Massachusetts,1469.6000000000001,1017.5000000000001,104,7
299,Michigan,2038.3000000000002,8289.6,76,7
300,Minnesota,2963.4,7646.1,274,7
301,Mississippi,3769.7000000000003,4777.3,326,7
302,Missouri,3743.3,7970.6,272,7
303,Montana,1370.6000000000001,3201.0000000000005,254,7
304,Nebraska,0.0,1397.0,0,7
305,Nevada,2361.7000000000003,2038.3000000000002,304,7
306,New Hampshire,1161.6000000000001,1688.5000000000002,14,7
307,New Jersey,1387.1000000000001,1156.1000000000001,80,7
308,New Mexico,2396.9,2852.3,232,7
309,New York,2933.7000000000003,7209.400000000001,62,7
310,North Carolina,198.00000000000003,7679.1,192,7
311,North Dakota,466.40000000000003,1734.7,40,7
312,Ohio,8022.300000000001,10593.0,676,7
313,Oklahoma,4477.0,5351.5,580,7
314,Oregon,4392.3,6647.3,500,7
315,Pennsylvania,0.0,34333.200000000004,164,7
316,Puerto Rico,597.3000000000001,149.60000000000002,26,7
317,Rhode Island,316.8,295.90000000000003,146,7
318,South Carolina,3733.4,3504.6000000000004,224,7
319,South Dakota,611.6,2240.7000000000003,76,7
320,Tennessee,7463.500000000001,7097.200000000001,614,7
321,Texas,16569.300000000003,22356.4,1926,7
322,Utah,1926.1000000000001,3405.6000000000004,136,7
323,Vermont,447.70000000000005,652.3000000000001,38,7
324,Virgin Islands,18.700000000000003,3.3000000000000003,0,7
325,Virginia,8540.400000000001,8411.7,446,7
326,Washington,5506.6,6363.500000000001,470,7
327,West Virginia,2325.4,3835.7000000000003,302,7
328,Wisconsin,2935.9,6868.400000000001,8,7
329,Wyoming,744.7,1633.5000000000002,94,7
330,Alabama,6666.000000000001,5657.3,514,6
331,Alaska,1626.9,1921.7,172,6
332,Arizona,5683.700000000001,5129.3,476,6
333,Arkansas,2806.1000000000004,3901.7000000000003,390,6
334,California,15688.2,15175.6,806,6
335,Colorado,6785.900000000001,7850.700000000001,776,6
336,Connecticut,2158.2000000000003,1907.4,86,6
337,Delaware,470.8,624.8000000000001,32,6
338,District of Columbia,5.5,0.0,0,6
339,Florida,18442.600000000002,11869.000000000002,1204,6
340,Georgia,9917.6,8243.400000000001,750,6
341,Guam,13.200000000000001,14.3,0,6
342,Hawaii,0.0,0.0,0,6
343,Idaho,1544.4,3052.5000000000005,184,6
344,Illinois,4585.900000000001,5512.1,398,6
345,Indiana,5353.700000000001,6122.6,374,6
346,Iowa,14.3,1952.5000000000002,2,6
347,Kansas,2365.0,3143.8,270,6
348,Kentucky,5927.900000000001,6427.3,764,6
349,Louisiana,6809.000000000001,5426.3,460,6
350,Maine,1123.1000000000001,1926.1000000000001,118,6
351,Mariana Islands,0.0,0.0,0,6
352,Maryland,484.00000000000006,2977.7000000000003,18,6
353,Massachusetts,1810.6000000000001,1171.5,116,6
354,Michigan,2096.6000000000004,8220.300000000001,94,6
355,Minnesota,3122.9,6432.8,212,6
356,Mississippi,3747.7000000000003,4104.1,278,6
357,Missouri,4024.9000000000005,7761.6,286,6
358,Montana,1521.3000000000002,3677.3,250,6
359,Nebraska,2.2,1382.7,0,6
360,Nevada,2225.3,2053.7000000000003,268,6
361,New Hampshire,1225.4,1798.5000000000002,10,6
362,New Jersey,1626.9,1414.6000000000001,116,6
363,New Mexico,2550.9,2996.4,290,6
364,New York,3342.9,7753.900000000001,88,6
365,North Carolina,216.70000000000002,7717.6,172,6
366,North Dakota,504.90000000000003,1655.5000000000002,56,6
367,Ohio,8648.2,12002.1,742,6
368,Oklahoma,4948.900000000001,5353.700000000001,704,6
369,Oregon,4808.1,7669.200000000001,562,6
370,Pennsylvania,1.1,36217.5,204,6
371,Puerto Rico,680.9000000000001,137.5,52,6
372,Rhode Island,335.5,312.40000000000003,136,6
373,South Carolina,3593.7000000000003,3071.2000000000003,224,6
374,South Dakota,671.0,2093.3,70,6
375,Tennessee,7741.8,6620.900000000001,654,6
376,Texas,16685.9,21267.4,1818,6
377,Utah,2008.6000000000001,3843.4,192,6
378,Vermont,591.8000000000001,702.9000000000001,40,6
379,Virgin Islands,26.400000000000002,0.0,0,6
380,Virginia,9467.7,8188.400000000001,474,6
